Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
6318,Chile,Sweet potatoes,1992,59400,1522.0,15373.0,5.97
10832,India,Wheat,1991,22814,1083.0,72133.0,25.85
20784,Morocco,"Rice, paddy",2013,75433,346.0,13697.0,18.62
4217,Brazil,Yams,2007,92593,1761.0,304031.0,18.66
14197,India,Wheat,2011,29886,1083.0,55540.0,25.64
24409,Senegal,Sorghum,2002,5854,686.0,328.0,25.4
15387,Iraq,Soybeans,1990,14615,216.0,692.0,19.76
5856,Canada,Soybeans,2001,15298,537.0,38456.0,6.46
6874,Colombia,Sorghum,2010,57069,3240.0,48618.46,22.68
5632,Canada,Potatoes,1992,118173,537.0,29387.0,6.25
962,Australia,Soybeans,1993,16168,534.0,23899.0,18.03
19973,Mexico,Sorghum,2006,34481,758.0,50891.95,17.23
28090,Zimbabwe,Cassava,1994,40095,657.0,1664.0,20.64
24663,South Africa,Wheat,1993,18454,495.0,16582.0,21.32
9127,Germany,Maize,2011,106243,700.0,43754.35,6.56
16406,Japan,"Rice, paddy",1995,63432,1668.0,79821.18,12.98
6852,Colombia,Potatoes,2009,183793,3240.0,51435.13,22.87
25836,Sri Lanka,Plantains and others,2010,109294,1712.0,1450.54,26.83
9607,Guatemala,Sweet potatoes,2005,64706,1996.0,13506.02,19.99
13555,India,Potatoes,2008,192973,1083.0,14485.33,26.51
26357,Thailand,Wheat,1998,6951,1622.0,19212.0,28.44
22478,Pakistan,"Rice, paddy",2002,30192,494.0,10881.83,27.88
7295,Dominican Republic,Sweet potatoes,2002,60518,1410.0,4018.07,27.05
15203,Indonesia,Cassava,2009,187461,2702.0,1597.0,27.69
8366,Egypt,Sorghum,2011,53457,51.0,12945.0,21.99
14215,India,Cassava,2012,385818,1083.0,52980.0,26.65
26827,Turkey,Maize,2002,42163,593.0,27915.0,12.24
11552,India,Wheat,1995,25590,1083.0,61257.0,25.24
9128,Germany,Potatoes,2011,457565,700.0,43754.35,10.56
10690,India,Cassava,1991,218925,1083.0,72133.0,23.77
21068,Nepal,"Rice, paddy",1996,24554,1500.0,70.43,15.37
25957,Suriname,"Rice, paddy",2000,38970,2331.0,176.0,26.86
6667,Colombia,Maize,1998,16598,3240.0,60687.0,27.67
26914,Turkey,Maize,2006,72139,593.0,27421.0,17.71
16281,Japan,"Rice, paddy",1992,62754,1668.0,79821.18,15.68
1074,Australia,"Rice, paddy",1996,63540,534.0,31185.0,11.29
17872,Libya,Potatoes,1992,78947,56.0,87.0,19.67
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43
2004,Bahamas,Cassava,1998,75000,1292.0,484.59,25.94
6810,Colombia,Cassava,2007,108337,3240.0,82439.06,22.48
14918,Indonesia,Maize,2000,27649,2702.0,1597.0,27.1
15588,Iraq,Sorghum,2008,9791,216.0,1245.94,24.09
19870,Mexico,Wheat,2004,44871,758.0,26433.14,21.24
17155,Kazakhstan,Sorghum,1992,11765,250.0,17182.0,6.2
27304,Uganda,Maize,2008,22005,1180.0,88.0,23.68
17724,Lebanon,Wheat,2002,27356,661.0,1816.0,19.91
12564,India,Soybeans,2001,9400,1083.0,43720.04,25.34
11812,India,"Rice, paddy",1997,28457,1083.0,52279.0,23.26
13583,India,Sorghum,2008,10209,1083.0,14485.33,27.05
4073,Brazil,Sorghum,2006,22223,1761.0,238716.0,18.47
1881,Azerbaijan,Wheat,1993,16855,447.0,148.68,10.53
27127,Turkey,Potatoes,2013,315329,593.0,39440.0,14.07
24516,Slovenia,Potatoes,2004,250951,1162.0,1557.98,10.06
7230,Dominican Republic,Sweet potatoes,1998,55893,1410.0,4375.0,27.16
23215,Papua New Guinea,Maize,1999,54167,3142.0,105.0,25.38
1265,Australia,Wheat,2000,18209,534.0,33475.0,19.89
22068,Pakistan,Sweet potatoes,1995,100688,494.0,7681.0,26.09
25476,Spain,Potatoes,2004,271599,636.0,47445.0,12.17
24149,Saudi Arabia,Maize,1990,17992,59.0,994.0,25.86
6210,Central African Republic,Potatoes,2001,24792,1342.0,22.87,25.28
26901,Turkey,Soybeans,2005,33721,593.0,40332.0,11.24
18920,Mauritius,Sweet potatoes,2000,135625,2041.0,535.66,24.0
12953,India,Wheat,2004,27132,1083.0,35113.0,25.98
17382,Kazakhstan,"Rice, paddy",2012,37712,250.0,8674.58,2.5
16615,Japan,"Rice, paddy",2000,67023,1668.0,79821.18,15.92
15687,Ireland,Wheat,2007,84626,1118.0,3083.02,10.11
15153,Indonesia,Soybeans,2007,12908,2702.0,1597.0,27.29
15953,Italy,Maize,2009,86048,832.0,74172.0,13.28
23622,Portugal,Potatoes,1994,144950,854.0,9580.0,16.12
3441,Brazil,Cassava,1999,132795,1761.0,127585.0,25.88
1517,Australia,Wheat,2007,9173,534.0,32446.25,20.31
5291,Burundi,Sweet potatoes,2007,66692,1274.0,412.66,21.28
13473,India,Wheat,2007,27079,1083.0,27422.77,27.51
16973,Japan,Wheat,2009,32367,1668.0,60970.8,15.67
10297,Honduras,Sorghum,2006,11500,1976.0,4297.51,24.88
19293,Mexico,Wheat,1994,43034,758.0,34468.93,16.45
27215,Uganda,Plantains and others,1997,60488,1180.0,88.0,24.04
21628,Niger,Cassava,2010,217784,151.0,11.49,30.32
17635,Latvia,Potatoes,1994,129963,641.0,294.0,5.87
4798,Brazil,Wheat,2013,27491,1761.0,367778.0,20.07
22897,Pakistan,Wheat,2009,26568,494.0,3957.61,19.3
20351,Mexico,Sorghum,2012,38295,758.0,64512.22,16.43
26962,Turkey,Soybeans,2007,35350,593.0,48715.51,12.91
23607,Portugal,Wheat,1991,20982,854.0,9357.0,16.09
4518,Brazil,Yams,2010,95332,1761.0,342580.0,19.01
12093,India,Cassava,1999,239523,1083.0,46195.0,26.86
12868,India,"Rice, paddy",2004,29756,1083.0,35113.0,24.85
16561,Japan,Maize,1999,24000,1668.0,79821.18,15.93
16537,Japan,Soybeans,1998,14495,1668.0,79821.18,16.72
14621,Indonesia,Sweet potatoes,1991,95150,2702.0,3259.0,27.21
12515,India,"Rice, paddy",2001,31158,1083.0,43720.04,25.33
751,Armenia,Maize,1994,32667,562.0,23.0,8.84
16959,Japan,Soybeans,2009,15812,1668.0,60970.8,16.02
27418,Ukraine,Potatoes,2002,104374,565.0,17486.64,8.87
25784,Sri Lanka,Soybeans,2002,9206,1712.0,1714.39,26.74
27588,United Kingdom,Wheat,2000,80075,1220.0,33031.28,9.47
22486,Pakistan,Sorghum,2002,5989,494.0,10881.83,23.83
11162,India,Sweet potatoes,1993,85962,1083.0,66388.0,25.88
27125,Turkey,Potatoes,2013,315329,593.0,39440.0,20.22
16814,Japan,Maize,2006,25324,1668.0,65248.26,13.28
25970,Suriname,Soybeans,2002,9051,2331.0,986.25,27.14
2785,Brazil,Sorghum,1992,17190,1761.0,67003.89,20.21
13845,India,Wheat,2009,29071,1083.0,28707.01,26.55
5561,Cameroon,Potatoes,2012,103444,1604.0,1372.47,25.18
10890,India,Maize,1992,16758,1083.0,70791.0,25.52
11184,India,Wheat,1993,23267,1083.0,66388.0,25.88
14364,India,Wheat,2012,31775,1083.0,52980.0,24.37
1339,Australia,Soybeans,2002,19487,534.0,26651.0,14.08
14522,India,Sweet potatoes,2013,101288,1083.0,45620.0,25.85
18266,Malawi,Potatoes,1993,90947,1181.0,173.19,20.43
8976,Germany,Maize,1997,86577,700.0,30414.0,9.27
8608,Eritrea,Wheat,1998,9552,383.0,19.61,24.78
21202,Netherlands,Maize,2008,114163,778.0,10777.08,10.42
393,Argentina,Cassava,1991,100000,591.0,26156.0,17.64
16528,Japan,Potatoes,1998,307608,1668.0,79821.18,16.39
636,Argentina,Maize,2007,76655,591.0,81582.64,17.14
15012,Indonesia,Sweet potatoes,2002,99940,2702.0,1597.0,25.64
5656,Canada,Potatoes,1993,107674,537.0,29296.5,6.48
22047,Pakistan,Sorghum,1995,6099,494.0,7681.0,22.61
6242,Central African Republic,Cassava,2007,30000,1342.0,22.87,25.88
16555,Japan,Yams,1998,200786,1668.0,79821.18,16.72
24855,South Africa,Sweet potatoes,2000,35174,495.0,26857.0,20.74
23633,Portugal,Maize,1996,46766,854.0,12457.0,16.12
1672,Australia,Soybeans,2011,17136,534.0,47632.99,16.9
6315,Chile,"Rice, paddy",1992,42044,1522.0,15373.0,12.93
11492,India,Soybeans,1995,10121,1083.0,61257.0,25.86
26494,Tunisia,Wheat,2002,14144,207.0,706.18,19.74
27439,Ukraine,Soybeans,2006,12445,565.0,28832.6,7.88
21565,Niger,Cassava,2000,232169,151.0,62.0,29.43
23778,Qatar,Potatoes,2005,95169,74.0,68.0,28.09
14818,Indonesia,Potatoes,1997,162061,2702.0,1597.0,26.83
3046,Brazil,Cassava,1995,130631,1761.0,92967.22,24.77
7424,Dominican Republic,Yams,2011,67133,1410.0,6316.61,26.79
11881,India,Sweet potatoes,1997,84850,1083.0,52279.0,25.46
19247,Mexico,Potatoes,1994,190845,758.0,34468.93,16.42
16384,Japan,Wheat,1994,37182,1668.0,79821.18,16.06
27845,Uruguay,Wheat,2009,33583,1300.0,13475.41,16.96
14784,Indonesia,"Rice, paddy",1996,44168,2702.0,1597.0,25.41
13358,India,Maize,2007,23352,1083.0,27422.77,24.59
23616,Portugal,Potatoes,1993,139420,854.0,8985.0,15.33
19431,Mexico,Maize,1997,23840,758.0,34468.93,16.25
15998,Italy,"Rice, paddy",2012,68133,832.0,61889.0,8.05
11626,India,"Rice, paddy",1996,28226,1083.0,56114.0,26.1
15286,Indonesia,Potatoes,2011,159562,2702.0,1597.0,26.63
18828,Mauritania,Sorghum,2007,3976,92.0,9.8,27.88
13895,India,Potatoes,2010,199299,1083.0,40093.69,26.61
4745,Brazil,Potatoes,2013,277517,1761.0,367778.0,17.57
3977,Brazil,Sorghum,2005,19296,1761.0,232232.0,20.78
2861,Brazil,Potatoes,1993,146090,1761.0,75658.33,21.94
8647,Eritrea,Sorghum,2009,2358,383.0,27.63,25.3
23850,Romania,Soybeans,1997,20032,637.0,15349.0,10.46
14545,India,Wheat,2013,31538,1083.0,45620.0,27.14
14956,Indonesia,Maize,2001,28446,2702.0,1597.0,26.81
26997,Turkey,Wheat,2008,23451,593.0,37640.2,12.7
27048,Turkey,Sorghum,2010,70968,593.0,38554.69,15.6
1699,Australia,Potatoes,2012,382592,534.0,48687.88,14.27
15607,Iraq,Maize,2010,23586,216.0,1612.61,21.97
11730,India,Wheat,1996,24828,1083.0,56114.0,24.78
9189,Ghana,Sorghum,1994,10825,1187.0,65.8,26.62
12128,India,Maize,1999,17922,1083.0,46195.0,26.96
15174,Indonesia,Potatoes,2008,166719,2702.0,1597.0,25.32
20287,Mexico,Sorghum,2011,37202,758.0,65961.1,16.64
23166,Papua New Guinea,Maize,1992,28872,3142.0,121.0,25.3
22799,Pakistan,"Rice, paddy",2008,35199,494.0,4946.79,23.21
10656,India,Wheat,1990,21211,1083.0,75000.0,25.58
7829,Ecuador,Soybeans,2004,16610,2274.0,29799.84,22.33
23181,Papua New Guinea,Potatoes,1994,43750,3142.0,176.0,25.07
4028,Brazil,Cassava,2006,140463,1761.0,238716.0,20.6
17803,Lesotho,Sorghum,1999,11089,788.0,0.3,15.34
5844,Canada,Maize,2001,66187,537.0,38456.0,6.46
22853,Pakistan,Potatoes,2009,202848,494.0,3957.61,23.62
1196,Australia,Potatoes,1999,321265,534.0,34200.0,19.28
4394,Brazil,Sweet potatoes,2009,113035,1761.0,335742.0,27.39
4133,Brazil,Cassava,2007,140099,1761.0,304031.0,19.05
23333,Peru,Potatoes,1992,74276,1738.0,3134.0,17.96
16976,Japan,Yams,2009,211519,1668.0,60970.8,13.55
27291,Uganda,Soybeans,2006,12069,1180.0,88.0,23.95
2066,Bahrain,Potatoes,1997,160000,83.0,9.42,26.11
1676,Australia,Soybeans,2011,17136,534.0,47632.99,19.99
24847,South Africa,Sorghum,2000,33246,495.0,26857.0,20.74
25091,South Africa,Potatoes,2010,342609,495.0,26857.0,21.54
9871,Guyana,"Rice, paddy",1994,37329,2387.0,289.9,27.12
25367,Spain,Maize,1998,94731,636.0,35070.0,17.15
1969,Azerbaijan,Maize,2011,45460,447.0,461.84,11.79
8772,France,Potatoes,1993,360076,867.0,91953.0,10.7
12654,India,Maize,2002,16807,1083.0,42482.56,25.07
6283,Central African Republic,Yams,2012,79310,1342.0,22.87,25.28
1373,Australia,Sorghum,2004,27367,534.0,36276.0,20.42
268,Angola,Maize,1999,6361,1010.0,40.0,24.37
1460,Australia,Sorghum,2006,25205,534.0,35900.0,18.99
18387,Malawi,Soybeans,2010,9757,1181.0,584.12,21.34
9577,Guatemala,"Rice, paddy",2001,19229,1996.0,10023.42,19.62
24195,Saudi Arabia,Wheat,1995,44720,59.0,994.0,26.33
25330,Spain,Potatoes,1996,211919,636.0,33236.0,17.01
19209,Mexico,Soybeans,1993,20927,758.0,34468.93,24.75
1221,Australia,Sweet potatoes,1999,275000,534.0,34200.0,17.55
19590,Mexico,Sorghum,1999,29901,758.0,34468.93,20.86
6890,Colombia,"Rice, paddy",2011,39589,3240.0,53797.0,22.33
16848,Japan,Wheat,2006,38351,1668.0,65248.26,13.28
25089,South Africa,Maize,2010,46736,495.0,26857.0,19.31
16041,Jamaica,Sweet potatoes,1992,134109,2051.0,1415.65,27.25
23784,Qatar,Potatoes,2007,100000,74.0,68.0,28.23
16597,Japan,Yams,1999,217455,1668.0,79821.18,15.93
1679,Australia,Sweet potatoes,2011,319252,534.0,47632.99,19.88
14440,India,"Rice, paddy",2013,36070,1083.0,45620.0,26.69
13729,India,Potatoes,2009,188103,1083.0,28707.01,26.31
9726,Guinea,"Rice, paddy",1996,17126,1651.0,157.0,27.33
7988,Ecuador,Sorghum,2010,16254,2274.0,31637.12,22.3
27373,Ukraine,Soybeans,1994,7203,565.0,56914.93,7.98
8995,Germany,Soybeans,1998,21896,700.0,33377.0,5.66
14645,Indonesia,"Rice, paddy",1992,43446,2702.0,825.0,27.4
13755,India,"Rice, paddy",2009,32366,1083.0,28707.01,27.82
23294,Papua New Guinea,"Rice, paddy",2011,20264,3142.0,105.0,25.17
12804,India,Cassava,2004,270436,1083.0,35113.0,26.24
18202,Madagascar,Cassava,2009,75058,1513.0,143.9,20.13
191,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78
15990,Italy,Sweet potatoes,2011,207114,832.0,70690.0,8.68
12269,India,Cassava,2000,269087,1083.0,44957.52,26.49
8913,Germany,Wheat,1991,67712,700.0,32006.0,8.79
9188,Ghana,"Rice, paddy",1994,20062,1187.0,65.8,26.62
9769,Guinea,Sorghum,2002,10174,1651.0,278.77,27.53
10704,India,Maize,1991,13763,1083.0,72133.0,25.49
8616,Eritrea,Wheat,2000,5943,383.0,24.96,24.76
26432,Thailand,Sorghum,2010,19175,1622.0,68986.0,28.54
13456,India,Sweet potatoes,2007,86976,1083.0,27422.77,26.15
20810,Mozambique,"Rice, paddy",1992,2988,1032.0,102.26,22.6
23717,Portugal,Maize,2011,81040,854.0,14024.98,16.91
8958,Germany,Soybeans,1995,20587,700.0,30090.0,9.16
244,Angola,Maize,1995,3517,1010.0,336.0,24.56
26446,Thailand,Sorghum,2012,18814,1622.0,69921.0,28.48
3151,Brazil,Maize,1996,24761,1761.0,101621.67,27.6
26117,Switzerland,Wheat,1999,52609,1537.0,1526.6,7.76
11906,India,Wheat,1997,26789,1083.0,52279.0,24.55
20140,Mexico,Maize,2009,32368,758.0,61690.08,19.81
26485,Tunisia,Wheat,1999,14184,207.0,827.87,19.97
22283,Pakistan,Potatoes,1999,165413,494.0,20450.0,25.5
28141,Zimbabwe,"Rice, paddy",2000,20000,657.0,2953.36,20.28
852,Australia,Maize,1991,39938,534.0,17866.0,12.22
7058,Denmark,Potatoes,1993,386777,703.0,4103.0,8.16
23920,Romania,"Rice, paddy",2010,49656,637.0,7249.2,11.94
18087,Madagascar,Soybeans,1993,6292,1513.0,109.41,19.95
15449,Iraq,Wheat,1995,8052,216.0,816.0,19.86
22142,Pakistan,Wheat,1996,20184,494.0,11955.0,22.61
8397,Egypt,Sweet potatoes,2013,336781,51.0,13653.0,21.44
21768,Pakistan,Maize,1991,14235,494.0,5962.0,22.48
14266,India,"Rice, paddy",2012,36909,1083.0,52980.0,26.21
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85
10981,India,Soybeans,1992,8947,1083.0,70791.0,26.37
20515,Morocco,Potatoes,1993,156153,346.0,10585.43,16.94
9319,Greece,Sorghum,1990,20000,652.0,7420.0,18.05
8810,France,Sorghum,1999,62061,867.0,114695.0,11.83
23995,Rwanda,Yams,1995,36227,1212.0,188.2,19.81
17885,Libya,Wheat,1994,7742,56.0,87.0,19.86
17863,Libya,Maize,1991,12417,56.0,87.0,18.96
22764,Pakistan,Wheat,2007,27156,494.0,5935.96,25.16
23509,Peru,Wheat,2012,14891,1738.0,18885.82,17.68
25189,South Africa,Soybeans,2013,15189,495.0,26857.0,18.0
26298,Thailand,"Rice, paddy",1990,19556,1622.0,18849.0,27.96
5004,Burkina Faso,Yams,1995,69212,748.0,3.04,28.46
26083,Switzerland,Potatoes,1991,398785,1537.0,2055.9,7.24
22747,Pakistan,Soybeans,2007,5818,494.0,5935.96,23.33
13476,India,Wheat,2007,27079,1083.0,27422.77,25.46
621,Argentina,Potatoes,2006,285828,591.0,65872.12,18.1
13438,India,Soybeans,2007,12351,1083.0,27422.77,26.27
6916,Colombia,Yams,2012,109759,3240.0,48727.73,22.58
26701,Turkey,Maize,1997,38247,593.0,34431.0,10.13
14944,Indonesia,Sweet potatoes,2000,94211,2702.0,1597.0,26.77
18788,Mauritania,Wheat,2000,15271,92.0,39.09,27.66
14590,Indonesia,Cassava,1991,120946,2702.0,3259.0,26.61
5651,Canada,Maize,1993,64241,537.0,29296.5,8.11
25555,Spain,Wheat,2007,35692,636.0,39286.0,17.41
16265,Japan,Yams,1991,192204,1668.0,79821.18,15.49
4156,Brazil,Potatoes,2007,240356,1761.0,304031.0,25.95
3236,Brazil,Cassava,1997,128200,1761.0,110276.11,20.77
4340,Brazil,Maize,2009,37145,1761.0,335742.0,20.78
26177,Tajikistan,Potatoes,1993,120492,691.0,2280.0,7.29
14475,India,Sorghum,2013,8502,1083.0,45620.0,27.11
9235,Ghana,"Rice, paddy",2001,20185,1187.0,82.0,26.76
12045,India,Sweet potatoes,1998,86907,1083.0,49157.0,24.34
22743,Pakistan,Sorghum,2007,6045,494.0,5935.96,26.53
20567,Morocco,Wheat,1996,18415,346.0,11806.86,17.75
2865,Brazil,Potatoes,1993,146090,1761.0,75658.33,28.18
25062,South Africa,Maize,2009,49640,495.0,26857.0,15.44
3823,Brazil,Yams,2002,92000,1761.0,145552.0,21.3
5003,Burkina Faso,Sweet potatoes,1995,36755,748.0,3.04,28.46
19449,Mexico,"Rice, paddy",1997,41365,758.0,34468.93,25.21
22344,Pakistan,Potatoes,2000,169078,494.0,27885.0,23.6
4167,Brazil,"Rice, paddy",2007,38260,1761.0,304031.0,25.95
22589,Pakistan,Maize,2005,29843,494.0,7914.31,24.66
7880,Ecuador,Sorghum,2006,15068,2274.0,7953.42,22.31
1633,Australia,Soybeans,2010,19042,534.0,42169.39,14.23
25314,Spain,Sorghum,1995,42969,636.0,27852.0,12.99
6145,Central African Republic,Maize,1992,9038,1342.0,0.04,24.81
25021,South Africa,Soybeans,2007,11202,495.0,26857.0,18.98
10777,India,Sorghum,1991,6553,1083.0,72133.0,25.32
20884,Mozambique,Cassava,2004,60017,1032.0,572.99,21.89
7670,Ecuador,Sweet potatoes,1997,38750,2274.0,7612.0,23.0
4458,Brazil,"Rice, paddy",2010,41271,1761.0,342580.0,18.18
21855,Pakistan,Sorghum,1992,5910,494.0,5518.0,24.31
25114,South Africa,Wheat,2010,25623,495.0,26857.0,16.11
25085,South Africa,Wheat,2009,30475,495.0,26857.0,18.67
23924,Romania,Maize,2011,45292,637.0,6582.9,11.26
27626,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,8.85
20183,Mexico,Wheat,2009,49688,758.0,61690.08,16.65
1651,Australia,Maize,2011,57390,534.0,47632.99,14.19
15085,Indonesia,Sweet potatoes,2005,104128,2702.0,1597.0,27.22
16745,Japan,"Rice, paddy",2004,64150,1668.0,64688.88,16.33
5060,Burkina Faso,Yams,2002,83373,748.0,39.47,28.97
12915,India,Soybeans,2004,9082,1083.0,35113.0,25.69
26220,Tajikistan,"Rice, paddy",2000,37900,691.0,527.25,8.78
27441,Ukraine,Maize,2007,39001,565.0,36476.0,9.46
25684,Sri Lanka,Plantains and others,1990,140381,1712.0,1571.33,26.53
10208,Honduras,Soybeans,1995,20000,1976.0,7800.0,24.95
10356,Honduras,Maize,2013,16214,1976.0,7194.91,24.86
15459,Iraq,Soybeans,1996,13750,216.0,616.0,20.13
13080,India,Soybeans,2005,10734,1083.0,35342.0,25.48
4193,Brazil,Sweet potatoes,2007,120680,1761.0,304031.0,20.93
25103,South Africa,Soybeans,2010,18173,495.0,26857.0,21.54
26703,Turkey,Maize,1997,38247,593.0,34431.0,13.16
27882,Zambia,Cassava,1991,62000,1020.0,1080.0,20.84
17082,Japan,"Rice, paddy",2012,67388,1668.0,54716.4,13.11
14631,Indonesia,Maize,1992,22030,2702.0,825.0,27.2
4512,Brazil,Yams,2010,95332,1761.0,342580.0,20.72
27258,Uganda,Cassava,2002,135000,1180.0,88.0,23.99
5388,Cameroon,Cassava,1994,127037,1604.0,411.42,24.93
25531,Spain,Sweet potatoes,2006,168349,636.0,39767.0,17.97
13591,India,Sorghum,2008,10209,1083.0,14485.33,25.3
9733,Guinea,"Rice, paddy",1997,17129,1651.0,157.0,27.3
12811,India,Cassava,2004,270436,1083.0,35113.0,25.95
4030,Brazil,Cassava,2006,140463,1761.0,238716.0,18.47
11882,India,Sweet potatoes,1997,84850,1083.0,52279.0,25.21
23070,Pakistan,Sweet potatoes,2012,86553,494.0,990.09,24.87
1877,Azerbaijan,Potatoes,1993,78059,447.0,148.68,10.53
1006,Australia,Sweet potatoes,1994,140961,534.0,21057.0,16.43
23834,Romania,Maize,1995,31915,637.0,20113.0,11.21
27132,Turkey,"Rice, paddy",2013,81380,593.0,39440.0,14.07
28097,Zimbabwe,Wheat,1994,54649,657.0,1664.0,20.64
16854,Japan,Yams,2006,225059,1668.0,65248.26,13.28
8212,Egypt,Sorghum,1999,57692,51.0,4823.0,22.28
27320,Uganda,Wheat,2009,16667,1180.0,88.0,24.18
17235,Kazakhstan,Potatoes,1999,107532,250.0,4720.28,7.09
14509,India,Sweet potatoes,2013,101288,1083.0,45620.0,25.44
9699,Guinea,Sorghum,1992,15038,1651.0,80.0,27.02
26625,Turkey,Maize,1994,38181,593.0,24219.0,19.76
19608,Mexico,Wheat,1999,46310,758.0,34468.93,20.86
23980,Rwanda,Potatoes,1994,67588,1212.0,157.8,19.55
25167,South Africa,Wheat,2012,37476,495.0,26857.0,21.24
26527,Turkey,Maize,1990,40803,593.0,29918.0,11.91
28042,Zambia,Cassava,2012,58188,1020.0,1670.0,20.8
5138,Burkina Faso,Soybeans,2013,13512,748.0,843.0,29.41
22412,Pakistan,Potatoes,2001,164180,494.0,11871.0,23.62
6796,Colombia,Plantains and others,2006,81953,3240.0,98328.63,22.6
21580,Niger,Maize,2002,5853,151.0,29.44,29.71
7093,Dominican Republic,Maize,1990,16479,1410.0,4971.0,26.61
27319,Uganda,Sweet potatoes,2009,41965,1180.0,88.0,24.18
9870,Guyana,Plantains and others,1994,32333,2387.0,289.9,27.12
16284,Japan,"Rice, paddy",1992,62754,1668.0,79821.18,12.94
24581,South Africa,Wheat,1990,10934,495.0,16582.0,18.91
18870,Mauritania,Sorghum,2013,4843,92.0,26.41,28.24
6900,Colombia,Cassava,2012,96365,3240.0,48727.73,22.58
9303,Ghana,Maize,2012,18712,1187.0,378.97,26.86
16952,Japan,"Rice, paddy",2009,65222,1668.0,60970.8,13.55
1621,Australia,"Rice, paddy",2010,103895,534.0,42169.39,14.23
20753,Morocco,Potatoes,2011,297584,346.0,13697.0,18.53
27752,Uruguay,Soybeans,1995,18235,1300.0,2413.02,16.66
9021,Germany,Wheat,2000,72826,700.0,35273.17,10.12
21654,Niger,Sweet potatoes,2013,211608,151.0,21.37,30.42
14746,Indonesia,Potatoes,1995,165939,2702.0,1597.0,26.74
7436,Dominican Republic,Sorghum,2012,14585,1410.0,6316.61,26.87
26286,Tajikistan,Sorghum,2012,29444,691.0,264.6,7.71
17008,Japan,Sweet potatoes,2010,217531,1668.0,55576.0,15.8
4414,Brazil,Yams,2009,94599,1761.0,335742.0,18.38
18678,Mali,Maize,2010,26886,282.0,3.84,28.18
13308,India,Wheat,2006,26188,1083.0,37423.0,24.72
13950,India,Sorghum,2010,8602,1083.0,40093.69,25.75
3586,Brazil,Sorghum,2000,15013,1761.0,140423.0,25.35
27730,Uruguay,Sorghum,1992,28877,1300.0,2072.03,16.7
11118,India,Sorghum,1993,8981,1083.0,66388.0,25.88
13926,India,"Rice, paddy",2010,33587,1083.0,40093.69,26.52
26613,Turkey,"Rice, paddy",1993,50176,593.0,28042.0,13.32
22590,Pakistan,Maize,2005,29843,494.0,7914.31,26.04
860,Australia,Potatoes,1991,285359,534.0,17866.0,18.73
26139,Switzerland,Potatoes,2006,326986,1537.0,1359.04,8.19
24880,South Africa,Soybeans,2001,16862,495.0,26857.0,15.68
6965,Croatia,Maize,1998,52474,1113.0,2904.5,10.42
496,Argentina,"Rice, paddy",1997,53703,591.0,77691.0,18.54
16507,Japan,Wheat,1997,36387,1668.0,79821.18,15.76
22971,Pakistan,Potatoes,2011,219196,494.0,1979.27,24.98
19814,Mexico,Cassava,2004,141677,758.0,26433.14,21.24
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37
27726,Uruguay,Wheat,1991,16135,1300.0,1762.01,16.95
26693,Turkey,Soybeans,1996,24390,593.0,30286.0,13.77
12733,India,Soybeans,2002,7624,1083.0,42482.56,26.15
17847,Lesotho,Sorghum,2011,5092,788.0,175.27,14.32
14098,India,"Rice, paddy",2011,35878,1083.0,55540.0,25.92
12220,India,Sweet potatoes,1999,85744,1083.0,46195.0,26.4
24147,Rwanda,Wheat,2013,19924,1212.0,1841.5,19.93
9755,Guinea,Sorghum,2000,10565,1651.0,230.06,27.12
5132,Burkina Faso,Yams,2012,90785,748.0,843.0,28.67
17031,Japan,Potatoes,2011,294691,1668.0,51796.3,15.62
2227,Bangladesh,Maize,2002,40349,2666.0,2954.29,26.1
2599,Brazil,Soybeans,1990,17322,1761.0,49695.0,17.77
25012,South Africa,"Rice, paddy",2007,25048,495.0,26857.0,15.9
22705,Pakistan,Wheat,2006,25186,494.0,6925.13,26.73
11669,India,Soybeans,1996,10319,1083.0,56114.0,27.06
64,Albania,Potatoes,2005,167061,1485.0,880.64,15.67
8279,Egypt,"Rice, paddy",2005,99874,51.0,5471.0,21.08
16461,Japan,Sweet potatoes,1996,233474,1668.0,79821.18,15.32
23254,Papua New Guinea,Sweet potatoes,2005,49514,3142.0,105.0,25.51
7268,Dominican Republic,Maize,2001,13390,1410.0,7182.0,26.78
8307,Egypt,"Rice, paddy",2007,97675,51.0,9105.0,21.51
20293,Mexico,Sorghum,2011,37202,758.0,65961.1,16.26
25222,Spain,Maize,1991,66692,636.0,39147.0,16.58
8873,France,Maize,2011,99668,867.0,61039.0,12.33
10562,India,Potatoes,1990,157136,1083.0,75000.0,24.78
4142,Brazil,Maize,2007,37852,1761.0,304031.0,20.93
9334,Greece,Soybeans,1992,30000,652.0,7869.0,17.13
14450,India,"Rice, paddy",2013,36070,1083.0,45620.0,26.84
15465,Iraq,Potatoes,1997,154474,216.0,848.0,19.23
2661,Brazil,Maize,1991,18084,1761.0,58349.44,24.25
